text,target,prediction
this morning has been hilarious : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy :,"joy,optimism",joy
attention crew! it's a happy tuesday everybody! make someone # laugh out loud today,"joy,love,optimism",joy
@ margogray48 @ waff48 @ trentnews @ katcampbellwx good morning margo! we are : grinning _ face : have a terrific tuesday dear,"joy,love,optimism",joy
@ southernrailuk no air working in the 1sr carriage of the 18 : 03 from victoria to bognor. # boiling # southernfail,"anger,disgust",anger
"@ benavides _ 412 awe feels or que :, (","disgust,pessimism,sadness",
to be really knowledgeable and really petty is such a delight to behold.,joy,joy
"an # angry # person may lose his / her objectivity, empathy, prudence or thoughtfulness and may cause harm to others.",anger,anger
"said it once and i'll probably say it again, anything more depressing than making your sandwiches for work the next day # cry","pessimism,sadness",sadness
"@ vanbluesat @ infrared _ rock among them, is hawrelak park and the stage they have there. a great venue. # livemusic # blues","joy,love,optimism",joy
"@ schuygoo :'like honestly, partying would probably come # 1 either way': face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy : # rage","anger,disgust,sadness",anger
"@ ac360 please, please do something about her! where's kayleigh, jack, jeff? ugh. # awful # doctor?","anger,disgust,trust",
i am seriously considering takeing a day off just to stream all day really need to : face _ with _ tears _ of _ joy : # : face _ with _ tears _ of _ joy : # streaming # take # the # day # off,"joy,optimism",joy
remember when julia thought she was pregnant with michael's baby and i was so happy about it and then the storyline got dropped. # pissed,"anger,disgust,sadness",anger
watched the # eclipse without glasses and it was # great! now i'll have an # eclipse over my # retinas for the rest of my life : smiling _ face : : dizzy _ face :,"joy,love,optimism",joy
2 more months marks my # 2year # alcohol # free # sober # life,,joy
"wtf! @ jonnybones people love you, stay off the dick pills!!! # goldensnitch","anger,disgust,joy,love,surprise",joy
@ good2bqueen67 @ foxandfriends @ realdonaldtrump : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy : says the # coward that hides its id # loser # traitor,"anger,disgust,joy,sadness",anger
@ rachelstothard1 @ jomarshall6 no room at the inn when we arrived due to computer error. 24hrs of messing around to get sorted.,"anger,disgust,pessimism,sadness",anger
@ passagefoods @ tkmaxx _ uk @ tesco yes!!! thank you. bought loads today! # happy,"joy,love,optimism",joy
@ colmorrisdavis @ the _ borg _ queen _ @ realdonaldtrump amen! he doesn't think at all. # arrogance # supremacy,"anger,disgust,sadness",anger
u was posting selfies in the gym last week now ur to scared to buy a mcdonald's lol : face _ with _ tears _ of _ joy : shows how much ur willing to lie,"fear,joy,optimism",fear
"they are burning not muslims economy, they are burning the economy of sri - lanka","anger,disgust",anger
@ loneranger1166 @ nbcnews she's a rhodes scholar! you're so ignorant you probably don't even know what that is # feelsadforyou,"anger,disgust,pessimism,sadness",anger
"so u see, i just wasted 2 hrs to see some extra shadows in the middle of the day # solareclipse2017 # dissapointed # overhyped","anger,disgust,pessimism,sadness",
can't believe i have to go work at the job that i voluntarily applied for,"anger,joy,optimism,pessimism,sadness",
@ loosewomen # dreadful show. # embarrassing : speaknoevil _ monkey : bear needs to # calmdown # tryingtoohard # hadtoturnoff,"anger,disgust,sadness",disgust
disney having trouble casting aladdin @ tellyleung....... you should do it! : smiling _ face _ with _ smiling _ eyes : # warbler # glee,"joy,optimism,trust",joy
why o they call it a happy mea. if it tastes like a whole lot like depression.,sadness,sadness
post wireless blues is too real : unamused _ face : : unamused _ face :,"anger,sadness,surprise",disgust
was watching more subnatica so fun and funny and igp is so hilarious # funny # omg # amazing # nice # hilarious,"joy,optimism",joy
@ zion _ kuwonu @ theaustinporter @ nickmara y'all don't follow me yet and i'm,,anger
johnny doesn't seem like the suicidal type # suspicion # tcmparty,sadness,fear
"wow that last chick was a bit intense, poor freddie was a bit unnerved lol # ninjawarriorau",joy,joy
"if i see one more lakshmi ex enrage, i'm kill someone.","anger,disgust",anger
filled with sophisticated glum,"disgust,pessimism,sadness",
olivia is the worst kinda girl there is # psycho # dick # ihateu # getoffmytv # loveisland,"anger,disgust,sadness",anger
what happens if i get lost? hmm i think i shall return tho : pushpin :,fear,
@ italianirish81 any republican stupid enough to attend one of these grotesque abominations would suffer a horrible death.,"anger,disgust,sadness",anger
"wonderful morning at my best friend's house. she's at work! i'm writing, eating her delicious fresh bread & amp ; cake & amp ; drinking fresh : hot _ beverage :","joy,love,optimism",joy
@ stevecontenyc lovely! : grinning _ face :,"joy,love,optimism",joy
y'all ever go to your snap maps and click somewhere random like saudi arabia?? bruh shit is wild : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy :,"anger,sadness",anger
"lonely is not being alone, it's the feeling that no one cares. # alone # depressed # anxiety","fear,sadness",sadness
or just blame the gloomy weather,"disgust,sadness",
"i dreamt that my dog, snoopy, came back to life. man i miss that dog : slightly _ frowning _ face :","pessimism,sadness",sadness
but damn the sight of them getting scared af makes me feeel sooo bad! which they should feel afraid cause if their mom don't come n it them,"fear,sadness",fear
@ scott _ mills after you said an apple pie isn't naughty i really want chris or @ gregjames to say'but a cream pie is'# naughymind # rage,"anger,disgust",anger
sometimes in # life.... see the # statement itself # sounds so # temporary nothing is permanent isn't it? so # never # worry let it go & amp ; # moveon,"anticipation,fear,optimism",optimism
"being an entrepreneur at 18 is a real blessing : folded _ hands _ mediumlight _ skin _ tone : the flexibility, doing what you love, and being the one in charge is # great # blessed","joy,love,optimism",joy
from the archives... strikeforce champ ronda rousey 301 # chirp # church # mayhemmiller # naked # rip # rondarousey # twitter,"pessimism,sadness",
tomorrow should be interesting if info is being released re away priority & amp ; canalside membership! # outrage # htafc,"anger,anticipation,disgust",anger
@ 5sos i cant wait for the day you release the album so that i can finally unleash my fury i hate this long ass hiatus ok afshdkflckakdbwi,"anger,anticipation,disgust",anger
"instead of asking # blessing from god the father, remain # engaged on # pilgrimage of remembrance. never get # tired on spiritual pilgrimage.","joy,optimism",optimism
good morning! i hope you all have an amazing wednesday. # wednesday # positivevvibes,"anticipation,joy,optimism",joy
@ teenique yessss waiting for an epi is for the birds. it sucks. im waiting for walking dead new season : weary _ face :,"anger,anticipation,disgust",
# note8 # animated said pen. amazing. wife loves this one,"joy,love",joy
"@ angrydwarf9 @ carolinesandall it ruins my frigging night each night at 9pm. mrs loves it, i've been early to bed for a month.",anger,
ugh @ easyjet really do have the worst customer service!!!!!!! # astounded,"anger,disgust",disgust
i'm fuming i wanted hamez,"anger,disgust",anger
my blood sugar is 399 and my anxiety is wrecking me and i have court like right now and i made us late bc im fighting w my mom # great # good,fear,
there are girls on my facebook cheering on the fact that chyna got a restraining order against rob just bc of the'revenge porn'thing,,
"my main concern are the children and his wife thats if she is still stuck with him and if she is, then she's strong af. jeez : worried _ face :","fear,sadness",fear
"' is it that funny to you when someone's sad? in that case, i'll beat you'till you won't even be able to crack a smile! '","anger,disgust,sadness",
@ ac360 omg. who is this nan hayworth person and where did she come from? send her back! # sad # bad,sadness,sadness
"i just wanna be okay!! like i know i can be all smile and giggles, but hot diggity dang, if that wasn't a mask, life would be swell!","joy,optimism,sadness",joy
i see you smiling through the steam of my coffee cup,"joy,optimism",joy
@ logitechuk been there done that,joy,
@ kikisshh @ gyorzeppeli 14 year old me is crying in delight right now axellllllllll ♥♥♥♥♥,"joy,optimism",joy
i want to ruffle jungkook's hair.... this is so sad,sadness,sadness
don't be afraid to ask questions! he's real & amp ; there's always a revelation.,"anticipation,fear,optimism",optimism
@ soundk2022 always panic before the presentation.. & gt ;. & lt ; ',fear,fear
@ lmwilson92 girllll i don't even know what's on anymore,"anger,disgust,pessimism,sadness",
@ jenbhen @ jenwinget cos she isn't afraid not to look as aesthetically pleasing to the audience.,"joy,optimism",joy
@ daddyslittlek wow i've just spotted the cutest human being alive # blessed : smiling _ face _ with _ hearteyes :,"joy,love",joy
i've seen the innocence leave your eyes. i still mourn this death.,sadness,sadness
@ 1pmlunch i coloured my hair bright red and had a dodgy fringe. # dreadful # nophotos # thankgoodness # betterblonde,"disgust,joy",
you can pair me with your smartphone. just lay it on me and by spinning i'll pair it into pieces / # smart # playful # washer # iot,"joy,optimism,trust",joy
# laughing but # crying bc my life is such a shit show,"anger,disgust,pessimism,sadness",sadness
"miss sylvester wants to see you in her office, mr. schue. she doesn't like to be kept waiting. # glee","anger,joy",
you couldn't mind me up more if you tried right now raging : upsidedown _ face : : angry _ face :,"anger,disgust",anger
robert called me to make sure i was awake for my night class,joy,
@ cpwomensopen @ brookehenderson @ cheohospital @ ottawahuntclub # priceless love those # smiles,"joy,love,optimism",joy
all the proud parents on fb about their kids school report and am shitting myself for graces arriving : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy : # troublemaker,"joy,pessimism,sadness",
genuinely think im dying boys n girls never felt so awful in my life x,"anger,disgust,sadness",sadness
@ malviyamit fuck off. enough of this fake solidarity. # notinmyname was a rabid # hinduphobic campaign. stop giving them legitimacy.,"anger,disgust",anger
@ bookingcom # croydonparkhotel will be receiving a big complaint from me tomorrow # worseservice # rudestaff # furious,"anger,disgust",anger
i hate these crippling anxiety. : (,"fear,pessimism,sadness",fear
i finally got my drivers permit # yes # readytodrive # nervous # scared,"fear,joy",fear
@ thewarofexo ohhh hahaha. but now i do not have a time to watch kdrama : worried _ face :,"anger,disgust,joy,sadness",
"i'm in such a good place right now, so happy... : yellow _ heart : i just wanted to share that # positivevibes # optimism # followingmydream","joy,optimism",joy
@ alaskaair as a long time gold & amp ; near million mile member just had a terrible customer service experience # disappointing,"anger,disgust,pessimism,sadness",sadness
'.... trying to work out how a band featuring corin tucker and peter buck ( rem ) could be so bad.'waahhhhh @ normanrecords # devastated,"pessimism,sadness",sadness
i'm just trying to watch the dragon ball super episode before i go to work but it won't load so # pissed,"anger,disgust,sadness",anger
"@ davidgold @ karren _ brady my shirt did not arrive today as promised, i even pre - ordered it in june, who do i make my complaint to?","anger,disgust",anger
"@ karma _ cutie aw, you make me smile, too. : winking _ face : : face _ blowing _ a _ kiss :","joy,love",joy
shoutout to @ enterprise bc nothing be will ever be as # horrible as the last 22 # miserable hours i've spent dealing with your # nonsense,"anger,disgust,fear,sadness",anger
a person # hates u for 1 of 3 reasons. they 1 ) want 2b u ; 2 ) # hate themselves. 3 ) c u as a # threat. ( & amp ; don't tell me hate doesn't exist! ),fear,anger
cochi's face & amp ; manner never show sadness. but the guitar always in his hands will play songs that will make you weep. # blues # wiptruthordare,"joy,sadness,surprise",sadness
motivation tip - great # salespeople know how to increase # business by eliminating # consumer # complaints # concerns # fears and pet peeves!!,"fear,joy,optimism,trust",
@ jnyalero @ belakinyii eng. r u call a spade a spade if u were good lets all mourn but if you not pop a bottle and say good riddace,sadness,
i should wear black & amp ; mourn a lil '.,"pessimism,sadness",sadness
i make nebulizer look sexy # darthvader # breathless # sexy # nebulizer # girl,"joy,optimism",joy
"@ asksheilas i've tried to get through 3 times today and waited 20 mins each time, what do i have to do to get through?!","anger,anticipation,surprise",
animated bts is so cool ok im cryin djdndjenns,"joy,optimism,sadness,trust",joy
just started p30 @ mrjonathanlynn's samaritans. spot - on orwellian discription of # us healthcare tragedy exploitations melancholic & amp ; hilarious!,"anticipation,joy,optimism,sadness,surprise",joy
ot6 still exist? # julid # deletesoon,fear,
@ joealane @ kayleyhignell think too timid. i think a £50 fee for all for ets as suggested by @ wonkypolicywonk is way to go.,"anticipation,pessimism,trust",
is joy okay??? she looked really breathless on stage...,fear,joy
getting up for work is so much harder when charles doesn't have to : slightly _ frowning _ face :,"disgust,pessimism,sadness",sadness
@ officialplt when you try to place an order on plt website and it comes up with an error but still take money out of my account # fuming,"anger,disgust",anger
@ auralorgasim looking at babies just makes me cross my legs and wince : face _ with _ tears _ of _ joy :,"joy,love",sadness
nothing more fun to do at a day like this : loudly _ crying _ face : : umbrella _ with _ rain _ drops : # dark # rainy,"joy,love,optimism",sadness
@ ranaayyub @ rajnathsingh so what's wrong in burning the terrorists alive? if they kill you do you want biryanis and award in return,"anger,disgust",anger
had noodles for tea yummmmmmy # yum # yummy # ddlg # abdl # chgl # noodles,"joy,love",joy
nw immortal songs 2 | | the blues ♥,"joy,love,optimism",joy
this pain makes me want to hit something!!!! : disappointed _ face : # irritated,"anger,disgust,sadness",anger
@ kaylynreynolds @ katycpstrong ha brilliant : face _ with _ tears _ of _ joy :. its really not ok is it : slightly _ frowning _ face : xx,"joy,love,sadness,surprise",
"@ jamaicajewell burning, throbbing, stabbing. can't exactly explain how it feels but this damn sht is fvking painful for real","anger,disgust,sadness",anger
the times when you need someone to lean on but sadly they are only there if they need you,"pessimism,sadness",sadness
america... just a nation of two hundred million used car salesmen with all the money we need to buy guns and no qualm,"anger,disgust,joy",anger
this wednesday @ chandlerbmusic # kickstarter begins! y'all be ready! # chandlerbaymusic # chandlerbayep # tantrum,"anticipation,joy,optimism",joy
@ mxxxcxxx weekedn cheer,"joy,optimism",joy
@ funnyrealfact thx 4 follow! i # terrify with letters & amp ; tweets. prefer i hand out sweets. perhaps they are powerful like apostle paul 2cor10 : 9 - 10,"anticipation,fear,joy,optimism",joy
@ hurricane _ surge id argue that sakura space is the best of the franchise and its not on your list. # dissapointed,"disgust,pessimism,sadness",
@ luxlikelindsey because one of the main symptoms is restlessness and it could explain why he isn't able to sleep / might not want to,"fear,sadness",sadness
deni & amp ; i on here be4 : known as friendship goals by all our adorable mutuals : heart _ with _ arrow : : growing _ heart : : person _ gesturing _ ok _ light _ skin _ tone : : sparkles :! : star : us now : tweets three times a day about depression,"joy,love,sadness",
@ not _ yves : face _ with _ tears _ of _ joy : me as hell,"anger,disgust,sadness",
what does this buffoon and his team have to do for you trump fans to bail!!?? # confused,"anger,disgust,pessimism,sadness",anger
"wow... i don't know who jocelyn alice is, but judging by her rendition of oh canada, i'll never buy any of her music # allstargame # awful","anger,disgust",anger
@ esteemedkompany is dani alves really going to go to psg in your opinion # nervous,"fear,pessimism,sadness",fear
"felt like a lost soul in front of @ katetempest, shivering more than ever # nowordstodescribe # emotional # beautiful # festival # aufoindelarue","joy,optimism",joy
my heart is hurting because i had to pour my milk out because something was in it : loudly _ crying _ face :,"disgust,pessimism,sadness",sadness
3. there is already a lot of resentment against the coal miner and union crowd among the liberals. they are seen as racist and as having,"anger,disgust",anger
@ thequippster okay but like why haven't you told me about this yet?,"anger,disgust,sadness",anticipation
utd fans taste on strikers have become so low. their enchanted by close to poverty level strikers and it's hilarious to see.,"joy,optimism",
i do love shack shake,"joy,love,optimism",joy
"so, basically, donald trump was so intimidated by hillary clinton that he sought foreign assistance ( including cyberattacks ) to'win '?","anger,disgust",anger
complainin bitcoin has dropped. the altcoin bubble has burst. bitcoin cud go to $ 1800 mid / end july but will rise above previous highs # hodl,"anger,disgust,optimism",
@ ian _ beckett have the most wonderful day ian.,"joy,love",joy
why is @ donaldjtrumpjr'busted'bc he spoke w / russian lawyer? he's a world bizman. where was the outrage bc @ sensanders honeymooned there?,anger,anger
did they offend us and they want it to sound new?,"anger,surprise",disgust
# fans # gamers what you think @ eamaddennfl 18 is going to rate the # dolphins # offense # defense special teams rating & amp ; rank out of 32 teams,anticipation,
"# worry steals your # happiness, robs your # energy. # success # quote # bertmartinez","joy,optimism",optimism
"sometimes we create our own heartbreaks through expectations. when # love prevails, fear departs. learn to be grateful for our moments. quiet","joy,optimism",optimism
"how are you my love? @ hashtag _ donjon love youu!! thanks for the smile, that motivates me to keep going!! : yellow _ heart : so blessed to have you : smiling _ face _ with _ smiling _ eyes :","joy,love,optimism",joy
@ pinknews an outrage,"anger,disgust",anger
happy happy birthday @ mrjaxtaylor hope your day is f * n awesome! have a drink or two or five for me!!,"joy,love,optimism,trust",joy
went to 3 western union outlets will take my money but when i need to receive cash from them they won't allow me # bad # service # westernunion,"anger,disgust,sadness",anger
@ scientists4eu that is amazing not only can it make people hear it can make us all # cry as well : face _ blowing _ a _ kiss :,"joy,optimism,sadness,surprise",joy
i've seen some get so discouraged in their old age becos they aren't physically able 2 do the things for god they used 2 do in their youth.,"fear,pessimism,sadness",sadness
holding a # grudge is like allowing someone to # live # rent # free in your # head # wednesdaywisdom # motivationalquotes,optimism,anger
looking up some phone prices online and it just saddens me even more : anguished _ face :,"pessimism,sadness",sadness
good morning # start 2wheel # free course * pune * 8888006565,"joy,optimism",joy
qld are like the all blacks # relentless,"anger,disgust",anger
@ lukasbradley use the f word as much as you need to. people may start to listen. : ),"disgust,optimism",
@ _ stevenkavuma i know!! # carefree,"joy,optimism",joy
learning without thought is labor lost ; thought without learning is perilous. # confucius,anticipation,
@ sydboyd _ it used to scare me too... but it's better this way.,"fear,optimism",fear
"do # you # said, people never cross the 10! # serious","anger,disgust,sadness",
thank you for sending random kind people into my life when i need them the most # smiling # grateful,"joy,optimism",joy
another blow for students as the su have shunned wildcats for fear they will offend dr. dre.,"fear,sadness",
in less than a month i get to see @ needtobreathe and @ gavindegraw in concert with @ lilbittysmitty and i already have zero chill!,"anticipation,joy,optimism,surprise",joy
"we get # upset when we are # overlooked for doing things for others, even small things. imagine how # jesus feels when he died for our sins.","pessimism,sadness",sadness
"lying at the pool with john, ice cream, drinks, 29 degrees and listening to busted : victory _ hand _ mediumlight _ skin _ tone : # bliss","joy,love",joy
hi @ amazonhelp my hairdryer that is less than a year old has started smelling of burning plastic - can you help?,"anger,sadness",
morning swindon! is there any chance you can cheer yourself up a bit?!! # bleak : squinting _ face _ with _ tongue :,"anticipation,fear,pessimism,sadness",sadness
words cannot describe the sheer pain of the blisters caused by these new sandals. i am this close to going barefoot all the way home # grim,"disgust,sadness",sadness
@ mycharlibrown @ pcbcat43 happy birthday mom what a wonderful cake delivery youre blessed,"joy,love",joy
i've had my share of trials and tests. but you know what? god has always stayed with me and brought me through! : smiling _ face _ with _ smiling _ eyes : # survivor # grateful # truth,"joy,optimism",joy
"if money cannot buy happiness, can you ever be truly happy with no money?","anger,anticipation,disgust,optimism",optimism
"i'm fuming, i was buying games for it and everything! that's so out of order # amazonprimeday","anger,disgust,sadness",anger
"wear a smile, one size fits all. # inspire # simple # simplethings # motivation # health # healthcare # relax # goals","joy,optimism,trust",optimism
@ dreamsof96 you want me to slap you? : face _ with _ tears _ of _ joy :,"anger,disgust,joy",anger
my take on recent yatra. security forces have done s wonderful job fighting terror. they have also made supreme sacrifice. civilian turn now,"fear,joy,optimism",optimism
"have you ever spoke in tongues, don't be afraid.","anger,disgust,fear",fear
marriage is the place where two whole pple are supposed to come together not a broken sick person seeking fixing it's a terrible arrangement,"anger,disgust,sadness",
libertyseeds : realdonaldtrump lizcrokin great # start for # maga...,"joy,love,trust",joy
@ rednationrising @ potus agree. i used to love her fox show until she turned. now she exudes a bitter attitude. she is done with television.,"anger,disgust,sadness",anger
all i want is get my sister @ ashleyclaw & amp ; @ chrisdelia in a room and listen to both of them laugh # hollywoodimprov # laughteristhebestmeds # : face _ with _ tears _ of _ joy :,"joy,love,optimism",joy
"it's still kind of weird that this guy was an atlantic contributor for so long, mostly as a one - man cheering section for elena kagan",disgust,
@ narendramodi really it was very sad and shame!!!,"disgust,sadness",sadness
blood rage,"anger,disgust",anger
"@ hugaarondingle god, the way he said that line... : loudly _ crying _ face : : broken _ heart : # amazing # lovedannybmiller # robron","joy,love,optimism",joy
"feeling slightly apprehensive, but amazing after this weekend off : smiling _ face _ with _ smiling _ eyes :","fear,joy",joy
having a movie day with my favorite today : grinning _ face _ with _ smiling _ eyes : god i love my lil goth bean.,"joy,love",joy
4. i should start numbering these anyways im filipino but not fluent in the language huhu me,"disgust,joy,pessimism,sadness",
"quote of the day comes from queen cersei herself @ iamlenaheadey'power hungry people are fearful, otherwise why wouldn't you just chill?': clapping _ hands :","optimism,trust",fear
"@ stevierenee3 @ realdonaldtrump it's what they'll be known for. temper tantrums, obstruction, working against the american people.","anger,disgust",anger
"1 /... do not give the devil an opportunity [ to lead you into sin by holding a grudge, or nurturing anger, or harboring resentment, or","anger,optimism",anger
@ mythos1014 i think i will tomorrow. i ain't ready for all those feels though. : sad _ but _ relieved _ face :,"anticipation,pessimism,sadness",sadness
does every # gop have an # obnoxious # twang? wtf? watching # fox is # shocking! more # hicks than i can stand!,"anger,disgust,sadness",anger
@ gma4trump _ nope we don't have it. it's an # outrage,"anger,disgust",anger
i love when gg cheering up eo. apink rv mamamoo jjang!!!!,"joy,love,optimism",joy
"morning! good vibes today people!! it's july 11, 2017 at 09 : 00am # goodmorning # twitter # happy","joy,love,optimism",joy
i'm new to the # instructionalcoach world and would love to know your fave resources! i will be in a high school new to ic. # nervous # excited,"fear,joy,optimism",
"# upset # emotional missing loved ones, wishing they were with me and this nightmare was over : pensive _ face : : sad _ but _ relieved _ face :","anger,disgust,fear,pessimism,sadness",sadness
"@ balbirpunj @ sgurumurthy # conversion is root cause of most acts of violence, wars & amp ; # terrorism in history of human civilisation..!!","anger,anticipation,disgust,fear,sadness",fear
"jordan is helping arya hunt a moth, lifting her up to get it on the walls. it's super adorable. # kitten # boyfriend # adorable # hunting","joy,love",joy
@ carelcj _ homyghad : crying _ face :,sadness,sadness
daniel killing her ex doeee : chocolate _ bar : : chocolate _ bar : : chocolate _ bar : : face _ with _ tongue : # insecure,"fear,sadness,surprise",anger
paul is such a fucking bully! dam leave the poor guy alone. he went on # bb19 to play the game same as you smdh pathetic # annoyed # worstvet,"anger,disgust",anger
@ djallsorts playing bliss # bliss a quiet coversation taken from the six senses album by claude challe # claudechalle,"joy,optimism",joy
"a # happy woman is always., a # beautiful woman! : smiling _ face _ with _ smiling _ eyes : : smiling _ face _ with _ halo : # womanhood # beingwoman.","joy,optimism",joy
"for goldman, it proved to be a pr nightmare. the bank ’ s investment arm was blasted for snapping up what were labeled “ hunger bonds, ”","fear,pessimism",anger
"i would anybody have seen it i ’ ll laugh all the car? clothes are really gettin in a night i lost myself, hating myself, i","anger,disgust,sadness",
it's my # party # hashtag10 and i'll # cry if i want to...... not really! # hashtag10 celebrations and i shall # rejoice! i love quirky ones!,"joy,optimism",joy
i was so scared!.. i thought i lost another daughter tonight. # grateful,"fear,joy",fear
"@ sweatbandactive bullies, rudeness and littering all make me # mad!","anger,disgust",anger
the @ standarddiary nailing @ sarahtheduchess the other day was very amusing!'i've written 56 books...'@ standardnews # hilarious # funny,"joy,optimism",joy
@ snowberrytae when i just added @ gochi _ mong on snap yesterday and i watched her stories today.... oh lord i ’ m just torturing myself : woman _ facepalming _ light _ skin _ tone : : loudly _ crying _ face :,"anger,disgust,sadness",sadness
my boss'have a right grudge against me today : face _ with _ rolling _ eyes :,"anger,anticipation,disgust,sadness",anger
"when i get clear on what actions to take, my # fear transforms into excitement because i am in step - by - precious - step action. can you relate?","anticipation,fear,joy,optimism",
i'm blessed with a wonderful older sister i'm so happy,"joy,love",joy
codes? lyft codes? we got em! use : invites - - want to ride anywhere free? # wonderful,"joy,optimism",joy
i always get annoyed or unhappy about the way i look in pictures but i have to accept that you can't change your face lol,"joy,optimism,sadness",
@ chriscuomo same as the bully in second grade. classic.,"anger,disgust",
"the number of ppl who took it the wrong way is not that alarming, but srsly why do u think lyt dat man oy : smiling _ face _ with _ smiling _ eyes :",joy,
"@ marcella _ jonas one of the twins was sleeping next to me. i tried to cover my laughter, but i shook so hard she woke up!","joy,love",joy
@ abctv @ ausenate @ annabelcrabb i confess i didn't watch last week. # bad are you going to do an episode on accessibility?,"anticipation,sadness",
"whenever u have a bad day, just remember that there's a bitch stalking you like it's their religion just to see if ur happier than them : face _ blowing _ a _ kiss :","anger,disgust,joy,optimism",
@ muhd _ babba i started reading it but it made no sense kawai i left it : grinning _ face _ with _ sweat :,"disgust,pessimism",
@ caxtonsupport i'm sorry but i don't know what dm stands for. i know a pm : face _ with _ tears _ of _ joy :. but sadly not a dm. it won't create an account to find.,"anger,disgust,sadness",sadness
"bro im fuming right now how the fuck did we hand them over james for 45m, we probably paid for his plane ticket aswell so shameless","anger,disgust",anger
you hold my every moment you calm my raging seas you walk with me through fire and heal all my disease : two _ hearts : : two _ hearts : : two _ hearts :,"joy,love,optimism",joy
@ callumobrien3 @ plymouthherald getting common place now i'm afraid... even getting the'on this day'articles repeated...!,fear,fear
smile because you have the promise of tomorrow and the next day and the next day.. endless possibilities! # focus # live # happiness,"joy,optimism",joy
i don't even have a parking infraction in this city i graduated 25 years ago. i have been completely # sober since may of last year. # rockon!,"joy,optimism,surprise",
"dirty den returns, bursting forth from his grave to deliver a horrible vengeance.","anger,disgust",anger
"over 9 hours, 6 trains and 7 stations only to be back where i started # nightmare","anger,disgust",fear
idk why tiff always have a 6 : 30 am alarm that rings everyday for,"anger,anticipation,disgust",
you won't find # excuses if you seek # optimism. # realtalk,"optimism,surprise,trust",optimism
confidence c | mos not from always being right but from not fearing ho be wrong. - peter ;. mcintyre,"joy,optimism",optimism
"@ realdonaldtrump how many in your family, admin or camp need to get caught with the hand in the cookie jar @ donaldjtrumpjr # idiots # sad","anger,disgust,sadness",
kidnapping and hostage - taking threats are on the rise. # civics # war,fear,fear
does anybody mom annoy them just by talking and she probably not even trying to annoy you : face _ with _ tears _ of _ joy :,"anger,disgust",anger
@ cherishnorminah well be offended then cause im speakin truths here : winking _ face _ with _ tongue :,"anger,disgust",anger
"chanyeol always cheering, he'll claps loudly and very happy when talks about something funny","joy,love,optimism",joy
well played radio station. playing the song'total eclipse of the heart'at the start of the eclipse! # eclipse # brilliant,"anticipation,joy,love",joy
@ superdupertashy what's with the frown? cheer up!,"joy,optimism",joy
@ kawells00 oh your art so wonderful : loudly _ crying _ face :,"joy,love,optimism,trust",joy
@ kimberlee _ _ xox awe thanks you so much : red _ heart : : red _ heart : love you too,"joy,love,optimism",joy
@ liampaulcanning gotten on the wrong side with dortmund as well. watzke not happy with how they handle the situation. # arrogance,"anger,disgust,sadness",anger
@ londoneconomic sometimes our judiciary just leaves you breathless and speechless.,"anger,disgust",
don't be discouraged.,"optimism,trust",optimism
@ kolusola @ curlineo just look at those happy smiles! beautiful! : yellow _ heart :,"joy,love,optimism",joy
@ everton @ waynerooney did you not film them when we equalised? hmm didn't think so # disappointing,"disgust,sadness",sadness
"smile princess, it looks good on you..","joy,love,optimism",joy
what a raucous crowd today @ gcschoolsnc # gcsartspd17! how often does one hear applause and cheers at pd?! # excitement @ artsednc @ nakiahardy,"anticipation,joy,love",joy
i'm actually very irritated : pouting _ face :,"anger,disgust",anger
fuck shit fuck fuck shit # suicideisanoption,"anger,disgust,sadness",anger
me : yells at ppl for having low self - esteem also me : burning myself in a trash can in a dumpster in hell for ppl with no self esteem,"anger,disgust,pessimism,sadness",anger
@ sebastiankurz : we need more mutual # trust to increase # security & amp ; fight # terrorism & amp ; # radicalization in europe # osce17aut # diplomacy140,"anticipation,fear,optimism",optimism
"i feel bad for people who don't understand my sarcasm. they think i'm mean, but really i'm hysterical & amp ; they don't realize it. # sad # funny","disgust,sadness",sadness
i hope everyone has a safe and fantastic day!!! : smiling _ face _ with _ smiling _ eyes :,"joy,love,optimism,trust",joy
"me : how much price for this poster of this sexy man? sales clerk : that's a mirror, sir. # laughoutloud","joy,love",joy
"i do not fear bugs, as being poor.","disgust,fear",fear
skyq is : ok _ hand _ mediumlight _ skin _ tone : but it's about time @ skyuk sorted there internet out!,"anger,joy",joy
@ varunsprincess _ huhh it's awesome : smiling _ face _ with _ hearteyes : i'm obsessed with it : smiling _ face _ with _ hearteyes : : face _ with _ tears _ of _ joy :,"joy,love,optimism,surprise",joy
"by the lack of cheers for cozart when he was announced, one would assume people don't know who the reds are. # cincysports # depressing","pessimism,sadness",sadness
i hate the smell of cigarettes.. : angry _ face :,"anger,disgust",anger
whats for # breakfast today? i have 2 slices of # bread out i # toast them # spread them with # butter & amp ; # strawberry jem and yum # delicious!,"joy,love,optimism",joy
